XNH3,numberdensity,vturb,T_cloud,A_OSL,A_ISL,A_MAIN,A_ISH,A_OSH,R_OSH_MAIN,R_OSL_MAIN,R_ISL_MAIN,R_ISH_MAIN,N_NH3
1e-08,320000.0,100.0,18.0,0.340,0.410,1.424,0.414,0.325,0.228,0.239,0.288,0.291,3.200e+14
1e-08,320000.0,100.0,18.0,1.089,1.248,4.007,1.271,0.979,0.244,0.272,0.311,0.317,1.005e+15
1e-08,320000.0,100.0,18.0,3.676,3.527,9.192,3.704,2.630,0.286,0.400,0.384,0.403,3.200e+15
1e-08,1000000.0,100.0,18.0,1.113,1.258,4.081,1.283,0.980,0.240,0.273,0.308,0.314,1.000e+15
1e-08,1000000.0,100.0,18.0,3.702,3.566,9.512,3.738,2.686,0.282,0.389,0.375,0.393,3.140e+15
1e-08,1000000.0,100.0,18.0,10.999,2.175,14.953,9.189,6.058,0.405,0.736,0.145,0.615,1.000e+16
1e-08,3200000.0,100.0,18.0,3.717,3.620,9.662,3.782,2.739,0.284,0.385,0.375,0.391,3.200e+15
1e-08,3200000.0,100.0,18.0,12.132,8.473,15.219,9.312,5.916,0.389,0.797,0.557,0.612,1.005e+16
1e-08,3200000.0,100.0,18.0,22.031,13.931,16.670,15.541,9.658,0.579,1.322,0.836,0.932,3.200e+16
1e-09,320000.0,100.0,18.0,0.034,0.042,0.150,0.042,0.033,0.223,0.224,0.279,0.279,3.200e+13
1e-09,320000.0,100.0,18.0,0.106,0.131,0.468,0.132,0.105,0.224,0.227,0.281,0.282,1.005e+14
1e-09,1000000.0,100.0,18.0,0.107,0.132,0.471,0.133,0.106,0.224,0.227,0.281,0.281,1.000e+14
1e-09,1000000.0,100.0,18.0,0.341,0.413,1.438,0.416,0.328,0.228,0.237,0.287,0.289,3.140e+14
1e-09,3200000.0,100.0,18.0,0.348,0.420,1.463,0.423,0.333,0.227,0.238,0.287,0.289,3.200e+14
1e-08,1000000.0,100.0,18.0,10.999,2.175,14.953,9.189,6.058,0.405,0.736,0.145,0.615,1.000e+16
1e-08,1000000.0,100.0,18.0,27.571,12.605,14.870,15.462,7.461,0.502,1.854,0.848,1.040,3.140e+16
1e-08,3200000.0,100.0,18.0,22.031,13.931,16.670,15.541,9.658,0.579,1.322,0.836,0.932,3.200e+16
1e-08,3200000.0,100.0,18.0,21.535,14.478,12.697,15.480,11.297,0.890,1.696,1.140,1.219,1.005e+17
1e-08,1000.0,100.0,18.0,0.001,0.001,0.003,0.001,0.001,0.369,0.369,0.544,0.544,1.000e+13
1e-08,1000.0,100.0,18.0,0.002,0.003,0.005,0.003,0.002,0.415,0.415,0.666,0.669,3.140e+13
1e-08,3200.0,100.0,18.0,0.009,0.012,0.042,0.012,0.009,0.225,0.226,0.282,0.283,3.200e+13
1e-08,3162.2776601683795,100.0,18.0,0.001,0.001,0.004,0.001,0.001,0.222,0.222,0.278,0.278,3.162e+12
1e-08,3162.2776601683795,100.0,18.0,0.001,0.002,0.006,0.002,0.001,0.221,0.221,0.277,0.277,5.275e+12
1e-08,3162.2776601683795,100.0,18.0,0.003,0.003,0.011,0.003,0.003,0.222,0.223,0.279,0.279,8.799e+12
1e-08,3162.2776601683795,100.0,18.0,0.004,0.005,0.019,0.005,0.004,0.222,0.224,0.279,0.280,1.468e+13
1e-08,3162.2776601683795,100.0,18.0,0.007,0.009,0.032,0.009,0.007,0.223,0.225,0.281,0.281,2.448e+13
1e-08,3162.2776601683795,100.0,18.0,0.012,0.015,0.053,0.015,0.012,0.223,0.227,0.283,0.284,4.084e+13
1e-08,3162.2776601683795,100.0,18.0,0.020,0.025,0.087,0.025,0.019,0.224,0.230,0.286,0.288,6.813e+13
1e-08,3162.2776601683795,100.0,18.0,0.031,0.039,0.133,0.039,0.030,0.223,0.234,0.291,0.295,1.136e+14
1e-08,3162.2776601683795,100.0,18.0,0.056,0.069,0.230,0.071,0.052,0.227,0.244,0.300,0.307,1.896e+14
1e-08,3162.2776601683795,100.0,18.0,0.097,0.117,0.373,0.122,0.085,0.227,0.259,0.315,0.327,3.162e+14
1e-08,6812.920690579615,100.0,18.0,0.003,0.004,0.015,0.004,0.003,0.222,0.223,0.279,0.279,6.813e+12
1e-08,6812.920690579615,100.0,18.0,0.005,0.006,0.023,0.006,0.005,0.222,0.223,0.279,0.279,1.136e+13
1e-08,6812.920690579615,100.0,18.0,0.009,0.011,0.041,0.011,0.009,0.223,0.224,0.280,0.280,1.896e+13
1e-08,6812.920690579615,100.0,18.0,0.015,0.019,0.067,0.019,0.015,0.223,0.226,0.281,0.282,3.162e+13
1e-08,6812.920690579615,100.0,18.0,0.025,0.032,0.111,0.032,0.025,0.224,0.228,0.283,0.284,5.275e+13
1e-08,6812.920690579615,100.0,18.0,0.043,0.053,0.184,0.053,0.041,0.225,0.232,0.287,0.289,8.799e+13
1e-08,6812.920690579615,100.0,18.0,0.072,0.088,0.300,0.089,0.068,0.227,0.239,0.293,0.296,1.468e+14
1e-08,6812.920690579615,100.0,18.0,0.115,0.138,0.458,0.141,0.105,0.229,0.251,0.302,0.309,2.448e+14
1e-08,6812.920690579615,100.0,18.0,0.205,0.241,0.757,0.249,0.178,0.235,0.271,0.318,0.329,4.084e+14
1e-08,6812.920690579615,100.0,18.0,0.666,0.008,1.321,0.718,0.000,0.000,0.504,0.006,0.543,6.813e+14
1e-08,14677.992676220705,100.0,18.0,0.010,0.013,0.045,0.013,0.010,0.223,0.224,0.279,0.279,1.468e+13
1e-08,14677.992676220705,100.0,18.0,0.016,0.020,0.071,0.020,0.016,0.223,0.225,0.280,0.280,2.448e+13
1e-08,14677.992676220705,100.0,18.0,0.028,0.035,0.123,0.035,0.028,0.223,0.227,0.281,0.282,4.084e+13
1e-08,14677.992676220705,100.0,18.0,0.046,0.057,0.202,0.058,0.045,0.224,0.229,0.283,0.285,6.813e+13
1e-08,14677.992676220705,100.0,18.0,0.079,0.096,0.335,0.097,0.076,0.225,0.234,0.287,0.289,1.136e+14
1e-08,14677.992676220705,100.0,18.0,0.133,0.160,0.547,0.162,0.124,0.227,0.243,0.292,0.296,1.896e+14
1e-08,14677.992676220705,100.0,18.0,0.224,0.264,0.874,0.270,0.202,0.231,0.257,0.302,0.309,3.162e+14
1e-08,14677.992676220705,100.0,18.0,0.372,0.413,1.309,0.433,0.301,0.230,0.284,0.316,0.331,5.275e+14
1e-08,14677.992676220705,100.0,18.0,1.064,0.555,2.171,1.024,0.000,0.000,0.490,0.256,0.472,8.799e+14
1e-08,14677.992676220705,100.0,18.0,1.118,1.139,2.975,1.211,0.790,0.266,0.376,0.383,0.407,1.468e+15
1e-08,31622.776601683792,100.0,18.0,0.027,0.033,0.120,0.034,0.027,0.223,0.225,0.280,0.280,3.162e+13
1e-08,31622.776601683792,100.0,18.0,0.043,0.053,0.189,0.053,0.042,0.223,0.227,0.281,0.282,5.275e+13
1e-08,31622.776601683792,100.0,18.0,0.075,0.092,0.327,0.093,0.073,0.224,0.231,0.283,0.284,8.799e+13
1e-08,31622.776601683792,100.0,18.0,0.126,0.152,0.533,0.154,0.120,0.225,0.236,0.286,0.289,1.468e+14
1e-08,31622.776601683792,100.0,18.0,0.214,0.254,0.871,0.258,0.198,0.227,0.246,0.291,0.296,2.448e+14
1e-08,31622.776601683792,100.0,18.0,0.366,0.419,1.395,0.429,0.321,0.230,0.262,0.300,0.308,4.084e+14
1e-08,31622.776601683792,100.0,18.0,0.626,0.683,2.167,0.707,0.513,0.237,0.289,0.315,0.326,6.813e+14
1e-08,31622.776601683792,100.0,18.0,1.035,1.059,3.128,1.116,0.754,0.241,0.331,0.339,0.357,1.136e+15
1e-08,31622.776601683792,100.0,18.0,1.751,1.757,4.567,1.798,1.353,0.296,0.383,0.385,0.394,1.896e+15
1e-08,31622.776601683792,100.0,18.0,2.374,2.904,6.283,2.798,2.271,0.361,0.378,0.462,0.445,3.162e+15
1e-08,68129.20690579608,100.0,18.0,0.066,0.081,0.288,0.081,0.064,0.223,0.228,0.281,0.282,6.813e+13
1e-08,68129.20690579608,100.0,18.0,0.105,0.128,0.454,0.129,0.101,0.223,0.232,0.283,0.284,1.136e+14
1e-08,68129.20690579608,100.0,18.0,0.186,0.223,0.779,0.225,0.175,0.224,0.239,0.286,0.289,1.896e+14
1e-08,68129.20690579608,100.0,18.0,0.313,0.365,1.255,0.372,0.283,0.226,0.250,0.291,0.296,3.162e+14
